plant_name,JS_ID,plant_num,PI_num,img_date,voxel_len,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14
4-9-18_Schnable_49-289-JS254-408_2018-04-11_12-25-45_9969600,JS254,289,PI_656108,2018-04-11,4cm,19.785,17.738,11.0319,10.4022,23.5245,30.4713,37.4553,11.9357,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-13_12-25-37_10082600,JS254,289,PI_656108,2018-04-13,4cm,26.0458,13.7659,10.9729,12.5301,22.8853,4.10894,14.2122,24.5207,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-16_12-25-38_10269600,JS254,289,PI_656108,2018-04-16,4cm,24.0272,25.6706,10.0629,33.3663,18.3893,29.46,16.4476,16.6495,8.76587,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-11_12-27-58_9969700,JS12,290,PI_533769,2018-04-11,4cm,36.9378,40.1384,27.8368,16.0442,24.9216,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-13_12-27-50_10082700,JS12,290,PI_533769,2018-04-13,4cm,37.0924,45.5593,34.3013,24.3529,20.6177,32.0663,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-16_12-27-52_10269700,JS12,290,PI_533769,2018-04-16,4cm,160.128,34.3587,37.8713,28.59,26.8667,32.7726,17.9399,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-11_12-30-10_9969800,JS126,291,PI_576376,2018-04-11,4cm,23.906,24.7576,24.0059,27.8203,22.3673,40.8483,43.5177,34.7256,46.1261,16.3977,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-13_12-30-04_10082800,JS126,291,PI_576376,2018-04-13,4cm,30.3892,29.1863,20.3605,27.417,30.0948,49.2977,72.662,37.2636,46.0467,26.2453,50.2945,23.9149,,,
4-9-18_Schnable_49-292-js197-306_2018-04-11_12-32-24_9969900,JS197,292,PI_656010,2018-04-11,4cm,29.3253,56.6471,19.5349,18.0229,26.633,21.9016,,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-13_12-32-18_10082900,JS197,292,PI_656010,2018-04-13,4cm,62.1499,37.0935,24.7192,26.6474,15.0543,13.2391,21.2163,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-16_12-32-21_10269900,JS197,292,PI_656010,2018-04-16,4cm,70.6406,21.0004,62.3143,42.8922,33.2335,16.6419,24.2029,18.8565,28.8479,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-11_12-34-43_9970000,JS235,293,PI_656076,2018-04-11,4cm,39.9079,41.3589,33.5015,26.0023,22.9895,39.1968,31.7359,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-13_12-34-31_10083000,JS235,293,PI_656076,2018-04-13,4cm,40.5619,42.4645,36.3861,27.7243,27.777,22.5245,35.1494,9.19289,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-16_12-34-34_10270000,JS235,293,PI_656076,2018-04-16,4cm,43.2532,43.3906,39.0367,28.5477,39.1604,25.5658,28.1609,43.4515,32.4831,8.13031,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-11_12-39-06_9970200,JS66,295,PI_533980,2018-04-11,4cm,35.702,44.7196,33.929,36.2376,25.75,17.7559,58.1908,34.7934,31.2098,,,,,,
