,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-16_12-30-07_10269800,0.676613,FALSE,0.17722,-0.204501,69.2374,64.2064,-0.175147,50.9078,-139.433,-0.149706,69.2415,1.2199,-0.14775,39.2947,-108.522,-0.14775,27.1599,13.1598,-0.145793,50.0647,8.59136,-0.141879,30.7216,-2.34697,-0.137965,57.7971,-123.454,-0.136008,62.1845,20.9237,-0.136008,16.4686,90.9791,-0.122309,41.2628,147.729,-0.122309,31.0037,154.758,-0.118395,70.0327,-101.223,-0.118395,75.0031,-120.478,-0.0909981,46.2502,-110.058,-0.0909981,44.9872,-137.166,-0.0616438,39.6128,-104.264,-0.0616438,28.3113,-1.35125,-0.055773,32.8308,-157.121,-0.0518591,71.1948,-154.122,-0.0499021,47.854,174.112,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-11_12-32-24_9969900,0.823296,TRUE,0.0193728,-0.402153,36.7743,19.4889,-0.388454,65.6963,-160.493,-0.372798,26.4995,-177.934,-0.319961,20.5918,18.759,-0.227984,17.0791,-159.89,-0.227984,24.5745,8.90726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-13_12-32-18_10082900,0.815513,FALSE,0.0322748,-0.421722,77.2781,-171.162,-0.419765,48.2873,-164.252,-0.406067,36.823,53.4533,-0.376712,29.799,-168.366,-0.329746,19.0615,42.4167,-0.259295,7.30879,1.78031,-0.259295,20.5162,-160.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-16_12-32-21_10269900,0.808961,FALSE,0.050843,-0.437378,85.0235,-165.531,-0.406067,37.4884,72.1841,-0.38454,74.6006,-172.567,-0.38454,67.8923,150.385,-0.378669,39.042,177.275,-0.333659,16.2378,61.9223,-0.300391,27.1462,-164.444,-0.177104,13.2109,58.0246,-0.175147,18.4637,-166.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-11_12-34-43_9970000,0.867256,TRUE,0.121425,-0.378669,46.9143,-14.3623,-0.33953,47.8454,-178.275,-0.312133,43.568,-15.1544,-0.267123,27.2493,-173.757,-0.19863,19.331,-8.70418,-0.0851272,19.1582,-141.7,-0.0851272,26.5241,-42.4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-13_12-34-31_10083000,0.870711,TRUE,0.0395768,-0.380626,48.8837,-23.4871,-0.345401,47.0681,155.831,-0.316047,46.0359,-15.6569,-0.26908,28.5807,-176.685,-0.212329,25.94,-21.5112,-0.108611,20.4714,-163.431,-0.0577299,19.9417,-33.9604,-0.0538161,9.17507,170.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-16_12-34-34_10270000,0.864195,TRUE,0.167179,-0.382583,48.6691,48.3514,-0.347358,49.0929,-143.156,-0.316047,49.4326,62.0439,-0.271037,32.2997,-114.878,-0.237769,36.3076,46.4913,-0.167319,18.323,-111.707,-0.15362,9.84507,-127.803,-0.0596869,19.5501,22.7221,0.00293541,19.8802,-98.5886,0.00684929,9.92781,92.6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-294-EMPTY-_2018-04-11_12-36-53_9970100,0,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-294-EMPTY-_2018-04-13_12-36-45_10083100,0,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-294-EMPTY-_2018-04-16_12-36-47_10270100,0,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
